spectrum_id,B0_G,dB_G,p,g_factor,mwFreq_GHz,rmsd,status
1,3338.96103311413,30.2132569774763,1.20035721048894,2.01128448933017,9.399319,5052.04691540635,OK
10,3331.38448596164,14.3622131806467,0.889385190861855,2.01568973996398,9.398531,11521.342911632,OK
11,3342.23799920885,13.2081007958055,0.833510125168793,2.00904013832202,9.398045,18004.717312505,OK
12,3388.25748277428,16.6176886258117,0.872723258197309,1.98176928012458,9.398121,10117.6092692303,OK
13,3353.70654331944,14.7225656301667,0.708832678903252,2.00226747216106,9.398503,33150.1797653038,OK
14,3342.06156167608,12.6864625140952,0.796344655447876,2.00917078671748,9.39816,22760.824392014,OK
15,3382.48648031211,12.0030890962318,0.2,1.98518953731474,9.398306,90139.6434831578,OK
16,3338.09270377164,13.9439532170962,0.764048676957259,2.01166106375892,9.398634,17394.8766048108,OK
17,3388.41592598534,13.1586215869496,0.711077540690101,1.9817845717878,9.398633,26651.8353939746,OK
18,3331.4414463589,11.1872749858927,0.688458886653482,2.01560530572866,9.398298,52238.504549933,OK
19,3331.52703155658,10.52649786639,0.638489745373348,2.01559577438157,9.398495,84228.6345382128,OK
2,3381.89497404729,24.2313860775042,1.22839758193406,1.98563478163794,9.39877,4782.24103270528,OK
20,3341.81917218723,12.0804433345238,0.668030720721046,2.00946703073423,9.398864,43715.9267448911,OK
21,3360.42008908302,11.3991352314605,0.617780896972384,1.99830768045172,9.398693,70749.0448644983,OK
22,3381.07029001639,10.2010436979752,0.900625308734173,1.98603837896974,9.398388,207008.928718869,OK
23,3331.49058173163,9.45028319457222,0.540258168655376,2.01554533893017,9.398157,206705.112405186,OK
24,3336.1080191468,7.96246703843383,0.533824945534231,2.01275909137194,9.398173,15676.7613990123,OK
25,3338.41579290562,9.15727627986443,0.2,2.01144069482987,9.398514,76601.2316496624,OK
26,3388.38017238211,8.41311008165095,0.516057857203108,1.9817837645502,9.39853,9577.81344286266,OK
27,3331.81201073433,7.31216380482503,0.2,2.01537791334306,9.398283,84802.2635432815,OK
28,3352.18188085516,6.57798511748797,0.396693369506492,2.00316984486908,9.398464,88777.3722800253,OK
29,3351.41284556187,7.33650489937839,0.2,2.00371286031871,9.398855,114860.38777925,OK
3,3332.57733170069,19.2534318309266,1.00297442219719,2.01499205174845,9.398642,24052.5995118412,OK
30,3338.33008692873,6.37195730255026,0.387893311973016,2.01162224675126,9.399121,149566.264852565,OK
31,3341.04467292657,5.79157139130926,0.218127833354284,2.00991681368401,9.398789,261786.291494849,OK
32,3332.10987955675,5,0.2,2.01527301383243,9.398634,852609.170863846,OK
33,3338.27139209745,5.38965582749876,0.219768436068849,2.01161673690996,9.39893,716929.845006314,OK
34,3338.34149151285,5,0.208359857537581,2.01163078412054,9.399193,1616218.76923132,OK
35,3388.67064130891,5,0.22114120859391,1.981753468718,9.399192,1815141.74732382,OK
36,3376.00640069885,5,0.235555992019897,1.98905609477874,9.398571,1957415.62759235,OK
37,3437.752344,5,0.2,1.95340561976299,9.398933,18168840.0485966,OK
38,3388.15201190173,5,0.852266571839056,1.98202877222733,9.399059,4977549.3296404,OK
39,3437.752344,1500,5,1.9533981377858,9.398897,26010228.7474912,OK
4,3338.51251411617,25.1385715590725,1.1978366971036,2.01146053457997,9.398879,12033.362736373,OK
5,3337.93126722562,21.0596347311704,1.03673151976287,2.01158497739892,9.397824,7170.54556081927,OK
6,3331.04821988779,16.8762931160649,1.02001374261616,2.01567229692734,9.397501,6932.97298313979,OK
7,3331.03257055073,15.2719895764236,0.98888448212562,2.01583684382024,9.398224,10505.8549376864,OK
8,3388.22440518951,19.428501816318,0.965969009887216,1.98173316817118,9.397858,7780.99096030473,OK
9,3363.05299040229,17.522292468842,0.907665921151323,1.99677296776244,9.398833,9252.48263895235,OK
